question,sql
What is the number of 2002 populations having a 2011 population of exactly 5399?,SELECT COUNT Population (2002) FROM table WHERE Population (2011) = 5399
What is the number of 1991 populations named Bečej?,SELECT COUNT Population (1991) FROM table WHERE City / municipality = Bečej
What is the 1991 population for the urban settlement named Bački Jarak?,SELECT Population (1991) FROM table WHERE Urban settlement = Bački Jarak
What is the number of 2011 populations having a 2002 population of 29449?,SELECT COUNT Population (2011) FROM table WHERE Population (2002) = 29449
What is the number of cities/municipalities having an urban settlement of Srbobran?,SELECT COUNT City / municipality FROM table WHERE Urban settlement = Srbobran
When town is the type what is the settlement?,SELECT Settlement FROM table WHERE Type = town
When оџаци is the cyrillic name other names what is the type?,SELECT Type FROM table WHERE Cyrillic Name Other Names = Оџаци
When ratkovo is the settlement what is the cyrllic name other names?,SELECT Cyrillic Name Other Names FROM table WHERE Settlement = Ratkovo
When  ратково is cyrillic name other names and village is the type and orthodox Christianity is the dominant religion of  2002 what is the settlement? ,SELECT Settlement FROM table WHERE Dominant religion (2002) = Orthodox Christianity AND Type = village AND Cyrillic Name Other Names = Ратково
When дероње is the cyrillic name other names what is the largest ethnic group of 2002?,SELECT Largest ethnic group (2002) FROM table WHERE Cyrillic Name Other Names = Дероње
What are the largest ethnic groups in gunaroš?,SELECT Largest ethnic group (2002) FROM table WHERE Settlement = Gunaroš
What are the largest ethnic groups where the cyrillic name and other names is пачир (hungarian: pacsér)?,SELECT Largest ethnic group (2002) FROM table WHERE Cyrillic Name Other Names = Пачир (Hungarian: Pacsér)
How many places have as their cyrillic name and other names његошево?,SELECT COUNT Settlement FROM table WHERE Cyrillic Name Other Names = Његошево
What are the dominant religions in the place with a population of 83?,SELECT Dominant religion (2002) FROM table WHERE Population (2011) = 83
How many settlements have as their cyrillic name and other names панонија?,SELECT Settlement FROM table WHERE Cyrillic Name Other Names = Панонија
What is the other name for martonoš?,SELECT Cyrillic Name Other Names FROM table WHERE Settlement = Martonoš
What type of settlement is ором (hungarian: orom)?,SELECT Type FROM table WHERE Cyrillic Name Other Names = Ором (Hungarian: Orom)
What settlement is also called мартонош (hungarian: martonos)?,SELECT Settlement FROM table WHERE Cyrillic Name Other Names = Мартонош (Hungarian: Martonos)
What is the largest ethnic group in мале пијаце (hungarian: kispiac)?,SELECT Largest ethnic group (2002) FROM table WHERE Cyrillic Name Other Names = Мале Пијаце (Hungarian: Kispiac)
What is the largest ethnic group in doline?,SELECT Largest ethnic group (2002) FROM table WHERE Settlement = Doline
Name the dominant religion of srpska crnja,SELECT Dominant religion (2002) FROM table WHERE Settlement = Srpska Crnja
Name the settlement for александрово,SELECT Settlement FROM table WHERE Cyrillic Name Other Names = Александрово
Name the cyrillic name for 518,SELECT Cyrillic Name Other Names FROM table WHERE Population (2011) = 518
Name the population for александрово,SELECT COUNT Population (2011) FROM table WHERE Cyrillic Name Other Names = Александрово
Name the population for 2011 for српска црња,SELECT Population (2011) FROM table WHERE Cyrillic Name Other Names = Српска Црња
What is the largest ethnic group in 2002 when the population is 200?,SELECT Largest ethnic group (2002) FROM table WHERE Population (2011) = 200
How many entries are there for type for the cyrillic name other names is падина (slovak: padina)?,SELECT COUNT Type FROM table WHERE Cyrillic Name Other Names = Падина (Slovak: Padina)
What is the type for the population in 2011 of 1004?,SELECT Type FROM table WHERE Population (2011) = 1004
What was the 2002 dominant religion when the largest ethnic group (2002) was slovaks and type is village?,SELECT Dominant religion (2002) FROM table WHERE Largest ethnic group (2002) = Slovaks AND Type = village
What is the cyrillic name other names for the settlement of debeljača?,SELECT Cyrillic Name Other Names FROM table WHERE Settlement = Debeljača
How many entries are there for cyrillic name other names where settlement is idvor?,SELECT COUNT Cyrillic Name Other Names FROM table WHERE Settlement = Idvor
What was the dominant religion in 2002 in lokve?,SELECT Dominant religion (2002) FROM table WHERE Settlement = Lokve
What was the largest ethnic group in in the settlement with the cyrillic name банатски карловац?,SELECT Largest ethnic group (2002) FROM table WHERE Cyrillic Name Other Names = Банатски Карловац
What is the largest ethnic group in the settlement with a 2011 population of 5082?,SELECT COUNT Largest ethnic group (2002) FROM table WHERE Population (2011) = 5082
What was the population in 2011 of banatski karlovac?,SELECT Population (2011) FROM table WHERE Settlement = Banatski Karlovac
Which settlement has the cyrillic and other name of локве (romanian: locve)?,SELECT Settlement FROM table WHERE Cyrillic Name Other Names = Локве (Romanian: Locve)
What is the population of the settlement with the cyrillic name of добрица?,SELECT MAX Population (2011) FROM table WHERE Cyrillic Name Other Names = Добрица
Which settlement has a cyrillic and other name of војводинци (romanian: voivodinţ)?,SELECT Settlement FROM table WHERE Cyrillic Name Other Names = Војводинци (Romanian: Voivodinţ)
What was the dominant religion in 2002 of the settlement with the cyrillic and other name of војводинци (romanian: voivodinţ)?,SELECT Dominant religion (2002) FROM table WHERE Cyrillic Name Other Names = Војводинци (Romanian: Voivodinţ)
What was the population in 2011 of the settlement with the cyrillic name of ватин?,SELECT MAX Population (2011) FROM table WHERE Cyrillic Name Other Names = Ватин
What was the largest ethnic group in sočica?,SELECT Largest ethnic group (2002) FROM table WHERE Settlement = Sočica
What was the 2011 population of pavliš?,SELECT Population (2011) FROM table WHERE Settlement = Pavliš
What was the largest ethnic group in 2002 of the settlement with the cyrillic name of ватин?,SELECT Largest ethnic group (2002) FROM table WHERE Cyrillic Name Other Names = Ватин
What was the dominant religion (2002) of the Mala Remeta settlement?,SELECT Dominant religion (2002) FROM table WHERE Settlement = Mala Remeta
What type of settlemen is Krušedol Selo?,SELECT Type FROM table WHERE Settlement = Krušedol Selo
How many types of settlement if Neradin?,SELECT COUNT Type FROM table WHERE Settlement = Neradin
What type of settlement is Jazak?,SELECT Type FROM table WHERE Settlement = Jazak
What is the name of the settlement that had a population of 9443 in 2011?,SELECT Settlement FROM table WHERE Population (2011) = 9443
How many different types of settlements does Nova Pazova fall into?,SELECT COUNT Type FROM table WHERE Settlement = Nova Pazova
What ethnic group had the largest population in сурдук in 2002?,SELECT Largest ethnic group (2002) FROM table WHERE Cyrillic Name = Сурдук
What ethnic group had the largest population in сурдук in 2002?,SELECT Largest ethnic group (2002) FROM table WHERE Cyrillic Name = Сурдук
How many dominant religions were in the settlement that had a population of 17105?,SELECT COUNT Dominant religion (2002) FROM table WHERE Population (2011) = 17105
What was the population of сурдук in 2011?,SELECT COUNT Population (2011) FROM table WHERE Cyrillic Name = Сурдук
When extending eminent domain over roads and ways is the description what is the highest means number?,SELECT MAX meas. num FROM table WHERE description = Extending Eminent Domain Over Roads and Ways
When restoring capital punishment is the description how many types are there?,SELECT COUNT type FROM table WHERE description = Restoring Capital Punishment
What is the lowest overall amount of no votes?,SELECT MIN NO votes FROM table
What was the urban settlement when the city / municipality was kovin?,SELECT Urban settlement FROM table WHERE City / municipality = Kovin
What is the population (1991) where population (2002) was  14250?,SELECT COUNT Population (1991) FROM table WHERE Population (2002) = 14250
What is the population (1991) when cyrillic name is панчево?,SELECT MIN Population (1991) FROM table WHERE Cyrillic Name = Панчево
What is the settlement destiny in Aleksandrovo? ,SELECT Settlement destiny FROM table WHERE Settlement = Aleksandrovo
What is the Cyrillic name for Novi Vladimirovac? ,SELECT Cyrillic Name Other Names FROM table WHERE Settlement = Novi Vladimirovac
How many items appear in the population 2011 column for the krčedin settlement?,SELECT COUNT Population (2011) FROM table WHERE Settlement = Krčedin
What is the dominant religion in 2002 for the population of 2337 in 2011?,SELECT Dominant religion (2002) FROM table WHERE Population (2011) = 2337
What is the lowest population in 2011 for the settlement of čortanovci?,SELECT MIN Population (2011) FROM table WHERE Settlement = Čortanovci
"What is the largest ethnic group in 2002 for the cyrillic name, other name of бешка?",SELECT Largest ethnic group (2002) FROM table WHERE Cyrillic Name Other Names = Бешка
What was the lowes population of 2002 when the 2011 population was 30076?,SELECT MIN Population (2002) FROM table WHERE Population (2011) = 30076
What is the dominant religion in степановићево during 2002?,SELECT Dominant religion (2002) FROM table WHERE Cyrillic Name Other Names = Степановићево
What is the cyrillic name for the settlement with the population of 2125?,SELECT Cyrillic Name Other Names FROM table WHERE Population (2011) = 2125
What type of settlement is футог?,SELECT Type FROM table WHERE Cyrillic Name Other Names = Футог
What is the cyrillic name for the settlement with the population of 5414?,SELECT Cyrillic Name Other Names FROM table WHERE Population (2011) = 5414
What is the cyrillic name for Budisava?,SELECT Cyrillic Name Other Names FROM table WHERE Settlement = Budisava
What is the dominant religion for нови сад in 2002?,SELECT Dominant religion (2002) FROM table WHERE Cyrillic Name Other Names = Нови Сад
What is the largest number of yest votes for the measure with 61307 no votes?,SELECT MAX YES votes FROM table WHERE NO votes = 61307
What numbered measure had a 58.29% yes%?,SELECT meas. num FROM table WHERE % YES = 58.29%
What was the passing result for the measure with 61307 no votes?,SELECT passed FROM table WHERE NO votes = 61307
What is the lowest measure number for the measure with a 33.57% yes percentage?,SELECT MIN meas. num FROM table WHERE % YES = 33.57%
What was the passing result for the measure with a description of  bus and truck operating license bill?,SELECT passed FROM table WHERE description = Bus and Truck Operating License Bill
What was the result of the ballot that had a 52.49% yes vote percentage?,SELECT passed FROM table WHERE % YES = 52.49%
List the total number of constitutional amendments for a five cent gasoline tax bill.,SELECT COUNT Const. Amd.? FROM table WHERE description = Five Cent Gasoline Tax Bill
What type of proposal is measure number 3?,SELECT type FROM table WHERE meas. num = 3
How many yes votes did the measure that got 60.39% yes votes get?,SELECT YES votes FROM table WHERE % YES = 60.39%
What is the description of the measure that got 39.57% yes votes?,SELECT description FROM table WHERE % YES = 39.57%
What is the number of the tax supervising and conservation bill?,SELECT MIN meas. num FROM table WHERE description = Tax Supervising and Conservation Bill
How many ballot measures had a percentage yes of 52.11%?,SELECT COUNT passed FROM table WHERE % YES = 52.11%
What is the measure where the yes% is 44.06%?,SELECT description FROM table WHERE % YES = 44.06%
How many measures had a yes vote of 216545?,SELECT COUNT passed FROM table WHERE YES votes = 216545
What is the highest measure number?,SELECT MAX meas. num. FROM table
What was the percentage of yes votes for the measure where the no votes number 199174?,SELECT % YES FROM table WHERE NO votes = 199174
How many types are there for the measure where there were 312680 yes votes?,SELECT COUNT type FROM table WHERE YES votes = 312680
How many figures are there for No votes for the Forest Rehabilitation Debt Limit Amendment?,SELECT COUNT NO votes FROM table WHERE description = Forest Rehabilitation Debt Limit Amendment
What is the type of measure that voted on the Power Development Debt Limit Amendment?,SELECT type FROM table WHERE description = Power Development Debt Limit Amendment
"What vote passed for the measure with the description, authorizing state acceptance of certain gifts? ",SELECT passed FROM table WHERE description = Authorizing State Acceptance of Certain Gifts
How many votes passed are listed on the measure that had 390338 yes votes? ,SELECT COUNT passed FROM table WHERE YES votes = 390338
What was the type when there were 175932 yes votes? ,SELECT type FROM table WHERE YES votes = 175932
What is the aggregate number of yes votes where no votes is littler than 299939.1619948521 and % yes is 66.49%,SELECT COUNT YES votes FROM table WHERE NO votes < 299939.1619948521 AND % YES = 66.49%
What is the description of the measure that got 78.27% yes votes?,SELECT description FROM table WHERE % YES = 78.27%
What is the highest measure number?,SELECT MAX meas. num. FROM table
How many measures numbered 8 were a constitutional ammendment?,SELECT COUNT Const. Amd.? FROM table WHERE meas. num. = 8
"How many type classifications are given to the measure with the description, calling convention to revise state constitution? ",SELECT COUNT type FROM table WHERE description = Calling Convention to revise State Constitution
What is the yes percentage in the measure that had 35270 yes votes? ,SELECT % YES FROM table WHERE YES votes = 35270
"Was the constitution amended for the measure with description , to annex part of Washington county to multnomah? ",SELECT Const. Amd.? FROM table WHERE description = To Annex Part of Washington County to Multnomah
"When the no votes was 322682, what was the max meas. number?",SELECT MAX meas. num. FROM table WHERE NO votes = 322682
Was the constitution amended on the measure described as authorizes bonds for water development fund? ,SELECT Const. Amd.? FROM table WHERE description = Authorizes bonds for water development fund
How yes votes were there for measure 4? ,SELECT MAX YES votes FROM table WHERE meas. num. = 4
Was the constitution amended when the percentage of yes votes was 69.82%?,SELECT Const. Amd.? FROM table WHERE % YES = 69.82%
What was the lowest measure number? ,SELECT MIN meas. num. FROM table
What was the type of ballot measures if the % of yes vote is 32.47%?,SELECT type FROM table WHERE % YES = 32.47%
What was the type of ballot measure with the description of Department of Industry and Public Works Amendment?,SELECT type FROM table WHERE description = Department of Industry and Public Works Amendment
How many data are there under NO vote with a description of $1500 tax exemption amendment?,SELECT COUNT NO votes FROM table WHERE description = $1500 Tax Exemption Amendment
What is the percentage of yes when there were 218846 yes votes,SELECT % YES FROM table WHERE YES votes = 218846
How many type catagories are listed when the percentage of yes is 68.91%?,SELECT COUNT type FROM table WHERE % YES = 68.91%
What is the type when yes votes are 546255? ,SELECT type FROM table WHERE YES votes = 546255
What is the measure number for the bill described as obscenity and sexual conduct bill? ,SELECT meas. num. FROM table WHERE description = Obscenity and sexual conduct bill
How many points did art renner have?,SELECT COUNT Points FROM table WHERE Player = Art Renner
How many touchdowns did bill culligan have?,SELECT COUNT Touchdowns FROM table WHERE Player = Bill Culligan
What was the highest number of touchdowns by a player?,SELECT MAX Touchdowns FROM table
How many points did robert stenberg have?,SELECT MIN Points FROM table WHERE Player = Robert Stenberg
Where was the quake that began at 14:07?,SELECT Location FROM table WHERE Origin time = 14:07
What was the epicenter latitude for the quake that started at 17:09?,"SELECT Epicentre (Lat., S) FROM table WHERE Origin time = 17:09"
"When ""pants on fire"" is the title what is the air date?","SELECT Original air date FROM table WHERE Title = ""Pants on Fire"""
"When ""the charlotte letter"" is the title what is the air date?","SELECT Original air date FROM table WHERE Title = ""The Charlotte Letter"""
"When ""the 37-year itch"" is the title what is the lowest series number?","SELECT MIN Series # FROM table WHERE Title = ""The 37-Year Itch"""
When 12 is the season number how many series numbers are there?,SELECT COUNT Series # FROM table WHERE Season # = 12
Who had the mountains classification when borut božič was the winner?,SELECT Mountains Classification FROM table WHERE Winner = Borut Božič
What was the team classification where andré greipel was the winner and had the points classification?,SELECT Team Classification FROM table WHERE Winner = André Greipel AND Points Classification = André Greipel
How many stages are there?,SELECT MAX Stage FROM table
How many sprint classifications are there where marco frapporti is the winner?,SELECT COUNT Sprint Classification FROM table WHERE Winner = Marco Frapporti
Who was the second couple for the episode having an ITV1 ranking of 29?,SELECT Second couple FROM table WHERE ITV1 weekly ranking = 29
What is the maximum ITV1 weekly ranking?,SELECT MAX ITV1 weekly ranking FROM table
What was the number of viewers for the episode having a fourth couple of Tony and Jamie?,SELECT Viewers (millions) FROM table WHERE Fourth couple = Tony and Jamie
Who was the first couple in the episode having a fourth couple of Sammy and Nat?,SELECT First couple FROM table WHERE Fourth couple = Sammy and Nat
What is the minimum ITV1 ranking for the episode having viewership of 5.42 million?,SELECT MIN ITV1 weekly ranking FROM table WHERE Viewers (millions) = 5.42
What episode number in the series was viewed by 13.66 million people in the U.S.?,SELECT MAX No. in series FROM table WHERE U.S. viewers (million) = 13.66
How many million U.S. viewers watched the epiode with a production code of 1arc12?,SELECT U.S. viewers (million) FROM table WHERE Production code = 1ARC12
How many million U.S. viewers watched the episode with a production code of 1arc03?,SELECT U.S. viewers (million) FROM table WHERE Production code = 1ARC03
How many million U.S. viewers watched episode number 6 in the series?,SELECT U.S. viewers (million) FROM table WHERE No. in series = 6
Who directed episode number 18 in the series?,SELECT Directed by FROM table WHERE No. in series = 18
How many episode numbers are there on the show whose first couple was Stuart and Pegah>?,SELECT COUNT # FROM table WHERE 1st couple = Stuart and Pegah
Who were the 3rd couple that were viewed by 4.89 million viewers? ,SELECT 3rd couple FROM table WHERE Viewers (millions) = 4.89
What location(s) did patrick mckenna lead the most laps?,SELECT Location FROM table WHERE Most laps led = Patrick McKenna
How many races went for 10 rounds?,SELECT COUNT Fastest lap FROM table WHERE Rnd = 10
"Who had the most laps led in monterey, california when scott rarick won the race?","SELECT Most laps led FROM table WHERE Location = Monterey, California AND Winning driver = Scott Rarick"
What was the winning team when mikhail goikhberg was the winning driver?,SELECT Winning team FROM table WHERE Winning driver = Mikhail Goikhberg
Who directed the episode with the production code 10?,SELECT Directed by FROM table WHERE Prod. code = 10
Who wrote the episode with production code 2?,SELECT Written by FROM table WHERE Prod. code = 2
Who wrote the episode with production code 5?,SELECT Written by FROM table WHERE Prod. code = 5
Name the number of finishes for 15 entries 15 and  l'esprit d'equipe,SELECT COUNT Finish FROM table WHERE Entries = 15 AND Winning yacht = L'Esprit d'Equipe
Name the most legs for steinlager 2,SELECT MAX Legs FROM table WHERE Winning yacht = Steinlager 2
Name the wininng yacht for 14 entries,SELECT Winning yacht FROM table WHERE Entries = 14
What was the word for the episode that aired February 11? ,SELECT The Wørd FROM table WHERE Original airdate = February 11
What was the introductory phrase for the episode with the production bode 6026?,SELECT Introductory phrase FROM table WHERE Production code = 6026
What was the word on episode number 673? ,SELECT The Wørd FROM table WHERE Episode # = 673
Who were the guests in the episode with production code 6021? ,SELECT Guest FROM table WHERE Production code = 6021
Who were the guests on a show where the production code is 6152?,SELECT Guest FROM table WHERE Production code = 6152
Who were the guests for the episode with an original airdate of december 07?,SELECT Guest FROM table WHERE Original airdate = December 07
"How many introductory phrases are there with  ""the wørd"" is ""unrequited gov""?","SELECT COUNT Introductory phrase FROM table WHERE The Wørd = ""Unrequited Gov"""
"What is ""the wørd"" when guests were daniel ellsberg , william wegman , julie taymor?","SELECT The Wørd FROM table WHERE Guest = Daniel Ellsberg , William Wegman , Julie Taymor"
What is the production code of the episode with an original airdate of december 01?,SELECT Production code FROM table WHERE Original airdate = December 01
What is the  episode # when the guests were julie nixon eisenhower and david eisenhower?,SELECT MIN Episode # FROM table WHERE Guest = Julie Nixon Eisenhower and David Eisenhower
Who were the guests on the episode that first aired August 16?,SELECT Guest FROM table WHERE Original airdate = August 16
What was the introductory phrase on the episode production code 6101?,SELECT Introductory phrase FROM table WHERE Production code = 6101
What was the smallest production code for August 11's original episode?,SELECT MIN Production code FROM table WHERE Original airdate = August 11
How many introductory phrases were there on David Finkel's guest episode?,SELECT COUNT Introductory phrase FROM table WHERE Guest = David Finkel
What was the minimum number of the episode that first aired August 11?,SELECT MIN Episode # FROM table WHERE Original airdate = August 11
Who were the guests for August 16's original episode?,SELECT Guest FROM table WHERE Original airdate = August 16
What was the introductory phrase for episode 794?,SELECT Introductory phrase FROM table WHERE Episode # = 794
What date did the episode originally air on with salvatore giunta as a guest?,SELECT Original airdate FROM table WHERE Guest = Salvatore Giunta
How many production codes were there for the episode that aired on November 15?,SELECT COUNT Production code FROM table WHERE Original airdate = November 15
What was the cylinder size of this engine that was made with only 88 pieces?,SELECT Cylinder size FROM table WHERE Number built = 88
What was the engine class that was built on 1906-08?,SELECT Class FROM table WHERE Years built = 1906-08
"How many engines were built with a cylinder size of 20 ½” x 26”, firebox is belpaire and valve gear is from Stephenson?",SELECT Number built FROM table WHERE Cylinder size = 20 ½” x 26” AND Firebox = Belpaire AND Valve gear = Stephenson
This engine with a cylinder size of 20 ½” x 26” and a firebox of radial-stay was built when?,SELECT Years built FROM table WHERE Cylinder size = 20 ½” x 26” AND Firebox = Radial-stay
How many types of valves were used on this engine that was built on 1902-05?,SELECT COUNT Valves FROM table WHERE Years built = 1902-05
Name the agency for santa rosa avenue,SELECT Agency FROM table WHERE South/West Terminal = Santa Rosa Avenue
Name the route number for rincon valley,SELECT Route Number FROM table WHERE South/West Terminal = Rincon Valley
Name the route number for santa rosa avenue,SELECT Route Number FROM table WHERE North/East Terminal = Santa Rosa Avenue
"What is the original air date of the episode ""Another Happy Day""?",SELECT Original Air Date (UK) FROM table WHERE Episode Title = Another Happy Day
What is the title of the episode that aired on 13 august 1981?,SELECT Episode Title FROM table WHERE Original Air Date (UK) = 13 August 1981
What is the original air date of episode 3-02?,SELECT Original Air Date (UK) FROM table WHERE Episode # = 3-02
Who are the cast members of episode 3-04?,SELECT Cast FROM table WHERE Episode # = 3-04
"What is the highest birth/2013 when the death/2012 is 14,1?","SELECT MAX Birth/2013 FROM table WHERE Death/2012 = 14,1"
"What is the highest death/2013 when the death/2012 is 12,7?","SELECT MAX Death/2013 FROM table WHERE Death/2012 = 12,7"
What are the death/2012 number when death/2013 is 140 and January–September 2013 is Moscow Oblast?,SELECT Death/2012 FROM table WHERE Death/2013 = 140 AND January–September 2013 = Moscow Oblast
How many figures for birth/2013 when January-September is Oryol Oblast?,SELECT COUNT Birth/2013 FROM table WHERE January–September 2013 = Oryol Oblast
How many touchdowns did the player took which gained 25 points?,SELECT Touchdowns FROM table WHERE Points = 25
How many maximum points did Curtis scored?,SELECT MAX Points FROM table WHERE Player = Curtis
How many touchdowns did the left guard took?,SELECT MAX Touchdowns FROM table WHERE Position = Left guard
How many numbers were recorded on the fields goals of the Left End player?,SELECT COUNT Field goals FROM table WHERE Position = Left end
What was the minimum touchdowns of the Fullback player?,SELECT MIN Touchdowns FROM table WHERE Position = Fullback
How many touchdowns did the fullback score?,SELECT MIN Touchdowns FROM table WHERE Position = Fullback
How many figures are provided for Weeks' field goals?,SELECT COUNT Field goals FROM table WHERE Player = Weeks
What is the most points recorded for a right halfback?,SELECT MAX Points FROM table WHERE Position = Right halfback
Was Magoffin a starting player?,SELECT Starter FROM table WHERE Player = Magoffin
Which player was at position left tackle?,SELECT Player FROM table WHERE Position = Left tackle
What is the original air date for the episode written by daniel dratch?,SELECT Original air date FROM table WHERE Written by = Daniel Dratch
What season was an episode directed by wendey stanzler?,SELECT MAX No. in season FROM table WHERE Directed by = Wendey Stanzler
What was the original air date where there were u.s. viewers (millions) is 5.60?,SELECT Original air date FROM table WHERE U.S. viewers (millions) = 5.60
Who was the writer for season 14?,SELECT Written by FROM table WHERE No. in season = 14
"Who wrote the episode where the original air date is july20,2007?","SELECT Written by FROM table WHERE Original air date = July20,2007"
what season was written by  jonathan collier?,SELECT MAX No. in season FROM table WHERE Written by = Jonathan Collier
How many episodes were written by Tom Scharpling and Daniel Dratch?,SELECT COUNT No. in season FROM table WHERE Written by = Tom Scharpling and Daniel Dratch
How many people directed the episode that Joe Toplyn wrote?,SELECT COUNT Directed by FROM table WHERE Written by = Joe Toplyn
How many titles does the episode written by Joe Toplyn have?,SELECT COUNT Title FROM table WHERE Written by = Joe Toplyn
How many directors of episode 55?,SELECT COUNT Directed by FROM table WHERE Series no. = 55
How many titles are there for the episode written by Tom Scharpling? ,SELECT COUNT Title FROM table WHERE Written by = Tom Scharpling
Which episode number aired on 18 october 2012?,SELECT MIN Episode no. FROM table WHERE Airdate = 18 October 2012
What is the lowest cable rank of an episode with 1464000 viewers?,SELECT MIN Rank (cable) FROM table WHERE Total viewers = 1464000
What is the highest number of dave viewers of an episode with 119000 dave ja vu viewers?,SELECT MAX Dave Viewers FROM table WHERE Dave ja vu Viewers = 119000
How many episodes aired on 25 october 2012?,SELECT COUNT Total viewers FROM table WHERE Airdate = 25 October 2012
What was the airdate of the episode with 106000 dave ja vu viewers?,SELECT Airdate FROM table WHERE Dave ja vu Viewers = 106000
How many DVDs where were in the complete collection series 1-8 with extras?,SELECT # of discs FROM table WHERE Release = The Complete Collection Series 1-8 with extras
Which release had 6 DVDs?,SELECT Release FROM table WHERE # of discs = 6
How many region 1's did back to earth have?,SELECT COUNT Region 1 FROM table WHERE Release = Back to Earth
How many field goals did Walter Rheinschild have? ,SELECT MAX Field goals FROM table WHERE Player = Walter Rheinschild
Jack Loell had how many extra points? ,SELECT Extra points FROM table WHERE Player = Jack Loell
How many points did Donald Green score?,SELECT COUNT Points FROM table WHERE Player = Donald Green
How many field goals did Donald Green score?,SELECT COUNT Field goals FROM table WHERE Player = Donald Green
What was the least amount of points scored?,SELECT MIN Extra points FROM table
How many extra points did Stanfield Wells make?,SELECT COUNT Extra points FROM table WHERE Player = Stanfield Wells
What are the most points listed?,SELECT MAX Points FROM table
How many touchdowns were the when there was more than 1.0 extra point?,SELECT Touchdowns FROM table WHERE Extra points > 1.0
Name the player/s when there were 20 points with less than 1.0 extra point .,SELECT Player FROM table WHERE Extra points < 1.0 AND Points = 20
What were the least amount of field goals when Frederick L. Conklin played?,SELECT MIN Field goals FROM table WHERE Player = Frederick L. Conklin
What is the least number of extra points? ,SELECT MIN Extra points FROM table
How many points did William Wasmund have?,SELECT Points FROM table WHERE Player = William Wasmund
How many touchdowns did the player with 10 points have?,SELECT MIN Touchdowns FROM table WHERE Points = 10
How many points does George M. Lawton have?,SELECT MAX Points FROM table WHERE Player = George M. Lawton
Name the player for 1 touchdowns,SELECT Player FROM table WHERE Touchdowns = 1
Name the least extra points,SELECT MIN Extra points FROM table
Name the least extra points,SELECT MIN Extra points FROM table
Who directed episode number 2?,SELECT Director FROM table WHERE No. = 2
What was the episode number that had 797000 viewers?,SELECT No. FROM table WHERE Viewing figure = 797000
Who directed the episode directed by colin teague?,SELECT Writer FROM table WHERE Director = Colin Teague
How many episodes with the production code CA106 are there?,SELECT COUNT Written by FROM table WHERE Production code = CA106
Who was the director for episodes that were written be Matthew Lau?,SELECT Directed by FROM table WHERE Written by = Matthew Lau
How many episode were written by Brett Conrad?,SELECT COUNT Title FROM table WHERE Written by = Brett Conrad
How many episodes were directed by Tim Matheson?,SELECT COUNT Original air date FROM table WHERE Directed by = Tim Matheson
How many episodes were directed by Rod Hardy?,SELECT COUNT Original air date FROM table WHERE Directed by = Rod Hardy
Who wrote the episode with 3.92 million US viewers?,SELECT Written by FROM table WHERE U.S. viewers (million) = 3.92
How many original air dates are there for the episode with code CA210?,SELECT COUNT Original air date FROM table WHERE Production code = CA210
"Who directed the episode ""The Outsiders""?","SELECT Directed by FROM table WHERE Title = ""The Outsiders"""
How many episodes had rating/share (18-49) of 0.7/2 and a rating of 2.1?,SELECT COUNT Episode Number FROM table WHERE Rating/Share (18-49) = 0.7/2 AND Rating = 2.1
What is the lowest episode number that had a ratings/share (18-49) of 1.1/3?,SELECT MIN Episode Number FROM table WHERE Rating/Share (18-49) = 1.1/3
What is the rating of the episode with a share of 4 and a rating/share (18-49) of 0.7/2?,SELECT Rating FROM table WHERE Share = 4 AND Rating/Share (18-49) = 0.7/2
What is the lowest rank of an episode with a rating/share (18-49) of 1.3/4?,SELECT MIN Rank (Night) FROM table WHERE Rating/Share (18-49) = 1.3/4
What is the song released by Travis?,SELECT Single FROM table WHERE Artist = Travis
error (see notes),SELECT MIN Weeks at number 1 FROM table
What is the song by the musician panjabi mc?,SELECT Single FROM table WHERE Artist = Panjabi MC
Where was the round 1 race?,SELECT Location FROM table WHERE Round = 1
Who won the April 11 race?,SELECT Winning driver FROM table WHERE Date = April 11
Where was the race where Cole Morgan had the fastest lap and Daniel Erickson had pole position?,SELECT Location FROM table WHERE Pole position = Daniel Erickson AND Fastest lap = Cole Morgan
How many rounds were played on May 8?,SELECT COUNT Round FROM table WHERE Date = May 8
"Who had pole position for the races in Braselton, Georgia where Victor Carbone had fastest lap?","SELECT Pole position FROM table WHERE Fastest lap = Victor Carbone AND Location = Braselton, Georgia"
Where did Audette Racing win?,SELECT Location FROM table WHERE Winning team = Audette Racing
Name the directors for peter gawler,SELECT Director(s) FROM table WHERE Writer(s) = Peter Gawler
Name the least episode number for  anne brooksbank and vicki madden,SELECT MIN Episode # FROM table WHERE Writer(s) = Anne Brooksbank and Vicki Madden
Name the title for season number 35,SELECT Title FROM table WHERE Season # = 35
What were the points per game in the selection where the rebounds per game were 15.0?,SELECT Points per game FROM table WHERE Rebounds per game = 15.0
What were the blocks per game in the selection where the field goal percentage was .594 (2nd)?,SELECT Blocks per game FROM table WHERE Field goal percentage = .594 (2nd)
Name the name for company d,SELECT Name FROM table WHERE Company = Company D
Name the name for organization date being unknown,SELECT Name FROM table WHERE Organization Date = Unknown
Name the name for desha,SELECT Name FROM table WHERE County = Desha
Name the company for desha county,SELECT Company FROM table WHERE County = Desha
Who wrote the episode with series number 56?,SELECT Writer(s) FROM table WHERE Series # = 56
"What is largest series number for the episode that aired February 16, 1957?","SELECT MAX Series # FROM table WHERE Airdate = February 16, 1957"
